experiment,condition,x,y
mask,no_mask,0.5,1.0000
mask,no_mask,0.6,1.0000
mask,no_mask,0.7,1.0000
mask,no_mask,0.8,1.0000
mask,no_mask,0.9,1.0000
mask,no_mask,1.0,0.9998
mask,no_mask,1.1,0.9959
mask,no_mask,1.2,0.8709
mask,no_mask,1.3,0.2556
mask,no_mask,1.4,0.0014
mask,no_mask,1.5,0.0000
mask,no_mask,1.6,0.0000
mask,no_mask,1.7,0.0000
mask,no_mask,1.8,0.0000
mask,no_mask,1.9,0.0000
mask,no_mask,2.0,0.0000
mask,urethane,0.5,1.0000
mask,urethane,0.6,1.0000
mask,urethane,0.7,1.0000
mask,urethane,0.8,1.0000
mask,urethane,0.9,0.9986
mask,urethane,1.0,0.8754
mask,urethane,1.1,0.1839
mask,urethane,1.2,0.0002
mask,urethane,1.3,0.0000
mask,urethane,1.4,0.0000
mask,urethane,1.5,0.0000
mask,urethane,1.6,0.0000
mask,urethane,1.7,0.0000
mask,urethane,1.8,0.0000
mask,urethane,1.9,0.0000
mask,urethane,2.0,0.0000
mask,nonwoven,0.5,1.0000
mask,nonwoven,0.6,1.0000
mask,nonwoven,0.7,0.9929
mask,nonwoven,0.8,0.4518
mask,nonwoven,0.9,0.0004
mask,nonwoven,1.0,0.0000
mask,nonwoven,1.1,0.0000
mask,nonwoven,1.2,0.0000
mask,nonwoven,1.3,0.0000
mask,nonwoven,1.4,0.0000
mask,nonwoven,1.5,0.0000
mask,nonwoven,1.6,0.0000
mask,nonwoven,1.7,0.0000
mask,nonwoven,1.8,0.0000
mask,nonwoven,1.9,0.0000
mask,nonwoven,2.0,0.0000
virulence,x1,0.5,1.0000
virulence,x1,0.6,1.0000
virulence,x1,0.7,1.0000
virulence,x1,0.8,1.0000
virulence,x1,0.9,1.0000
virulence,x1,1.0,1.0000
virulence,x1,1.1,0.9964
virulence,x1,1.2,0.8803
virulence,x1,1.3,0.2642
virulence,x1,1.4,0.0012
virulence,x1,1.5,0.0000
virulence,x1,1.6,0.0000
virulence,x1,1.7,0.0000
virulence,x1,1.8,0.0000
virulence,x1,1.9,0.0000
virulence,x1,2.0,0.0000
virulence,x2,0.5,1.0000
virulence,x2,0.6,1.0000
virulence,x2,0.7,1.0000
virulence,x2,0.8,1.0000
virulence,x2,0.9,1.0000
virulence,x2,1.0,1.0000
virulence,x2,1.1,1.0000
virulence,x2,1.2,1.0000
virulence,x2,1.3,0.9997
virulence,x2,1.4,0.9920
virulence,x2,1.5,0.8810
virulence,x2,1.6,0.4376
virulence,x2,1.7,0.0453
virulence,x2,1.8,0.0002
virulence,x2,1.9,0.0000
virulence,x2,2.0,0.0000
virulence,x3,0.5,1.0000
virulence,x3,0.6,1.0000
virulence,x3,0.7,1.0000
virulence,x3,0.8,1.0000
virulence,x3,0.9,1.0000
virulence,x3,1.0,1.0000
virulence,x3,1.1,1.0000
virulence,x3,1.2,1.0000
virulence,x3,1.3,1.0000
virulence,x3,1.4,0.9999
virulence,x3,1.5,1.0000
virulence,x3,1.6,0.9934
virulence,x3,1.7,0.9247
virulence,x3,1.8,0.5537
virulence,x3,1.9,0.1287
virulence,x3,2.0,0.0068
virulence,x4,0.5,1.0000
virulence,x4,0.6,1.0000
virulence,x4,0.7,1.0000
virulence,x4,0.8,1.0000
virulence,x4,0.9,1.0000
virulence,x4,1.0,1.0000
virulence,x4,1.1,1.0000
virulence,x4,1.2,1.0000
virulence,x4,1.3,1.0000
virulence,x4,1.4,1.0000
virulence,x4,1.5,1.0000
virulence,x4,1.6,1.0000
virulence,x4,1.7,0.9988
virulence,x4,1.8,0.9851
virulence,x4,1.9,0.8730
virulence,x4,2.0,0.5540
virulence,x5,0.5,1.0000
virulence,x5,0.6,1.0000
virulence,x5,0.7,1.0000
virulence,x5,0.8,1.0000
virulence,x5,0.9,1.0000
virulence,x5,1.0,1.0000
virulence,x5,1.1,1.0000
virulence,x5,1.2,1.0000
virulence,x5,1.3,1.0000
virulence,x5,1.4,1.0000
virulence,x5,1.5,1.0000
virulence,x5,1.6,1.0000
virulence,x5,1.7,0.9999
virulence,x5,1.8,0.9993
virulence,x5,1.9,0.9936
virulence,x5,2.0,0.9556
safe_distance,1.0,1.0,1.4
safe_distance,1.5,1.5,1.6
safe_distance,2.0,2.0,1.8
safe_distance,2.5,2.5,1.9
safe_distance,3.0,3.0,2.1
safe_distance,3.5,3.5,2.2
safe_distance,4.0,4.0,2.3
safe_distance,4.5,4.5,2.3
safe_distance,5.0,5.0,2.4
