都道府県,月額給与_千円,年収_千円,クラスター
三重県,229.5,2754.0,中年収群
群馬県,229.1,2749.2,中年収群
栃木県,228.9,2746.8,中年収群
長野県,228.6,2743.2,中年収群
石川県,228.0,2736.0,中年収群
兵庫県,227.8,2733.6000000000004,中年収群
福岡県,227.6,2731.2,中年収群
福井県,227.0,2724.0,中年収群
山梨県,225.4,2704.8,中年収群
香川県,225.2,2702.3999999999996,中年収群
岡山県,223.8,2685.6000000000004,中年収群
広島県,223.6,2683.2,中年収群
大分県,222.9,2674.8,中年収群
熊本県,222.4,2668.8,中年収群
山形県,220.1,2641.2,低年収群
島根県,218.5,2622.0,低年収群
宮城県,218.4,2620.8,低年収群
新潟県,215.8,2589.6000000000004,低年収群
青森県,214.6,2575.2,低年収群
宮崎県,214.6,2575.2,低年収群
愛媛県,213.7,2564.3999999999996,低年収群
高知県,211.1,2533.2,低年収群
徳島県,209.5,2514.0,低年収群
長崎県,208.1,2497.2,低年収群
岐阜県,207.0,2484.0,低年収群
鳥取県,202.4,2428.8,低年収群
秋田県,267.7,3212.3999999999996,高年収群
山口県,258.0,3096.0,高年収群
静岡県,249.8,2997.6000000000004,高年収群
佐賀県,246.0,2952.0,高年収群
埼玉県,244.9,2938.8,高年収群
東京都,244.5,2934.0,高年収群
滋賀県,243.9,2926.8,高年収群
神奈川県,242.7,2912.3999999999996,高年収群
愛知県,241.2,2894.3999999999996,高年収群
北海道,239.4,2872.8,高年収群
福島県,239.4,2872.8,高年収群
京都府,239.4,2872.8,高年収群
和歌山県,239.0,2868.0,高年収群
千葉県,236.1,2833.2,高年収群
茨城県,236.0,2832.0,高年収群
岩手県,235.9,2830.8,高年収群
大阪府,235.6,2827.2,高年収群
鹿児島県,235.6,2827.2,高年収群
沖縄県,234.6,2815.2,高年収群
奈良県,232.8,2793.6000000000004,高年収群
富山県,231.6,2779.2,高年収群
